[FaceDownCard] Card.SetDoNotSort() - card=[id=48 cardId= type=INVALID zone=HAND zonePos=4 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[id=68 cardId= type=INVALID zone=HAND zonePos=5 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[id=48 cardId= type=INVALID zone=HAND zonePos=4 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[id=68 cardId= type=INVALID zone=HAND zonePos=5 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[id=68 cardId= type=INVALID zone=HAND zonePos=5 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Novice Engineer id=50 zone=PLAY zonePos=1 cardId=EX1_015 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Novice Engineer id=50 zone=PLAY zonePos=1 cardId=EX1_015 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=True
[FaceDownCard] Card.SetDoNotSort() - card=[name=Valeera Sanguinar id=36 zone=PLAY zonePos=0 cardId=HERO_03 player=2] bOn=False
